card_name_a,card_name_b,games,wins,win_rate,win_lift_vs_baseline
Fishbone Quill,Might Solve a Mystery,44,35,0.7954545454545454,0.19914847685296233
Inkrunner,Ruby Chromicon,44,35,0.7954545454545454,0.19914847685296233
Ruby Chromicon,Vitalisphere,44,35,0.7954545454545454,0.19914847685296233
Belle - Apprentice Inventor,Sisu - Empowered Sibling,212,168,0.7924528301886793,0.1961467615870962
Ruby Chromicon,Sapphire Coil,48,38,0.7916666666666666,0.19536059806508355
Fishbone Quill,Vitalisphere,229,181,0.7903930131004366,0.19408694449885355
Liquidator - Iced Over,Sisu - Empowered Sibling,62,49,0.7903225806451613,0.19401651204357817
Fishbone Quill,Unconventional Tool,189,149,0.7883597883597884,0.1920537197582053
Brom Bones - Burly Bully,Fishbone Quill,14,11,0.7857142857142857,0.18940821711270261
Fishbone Quill,Sisu - Empowered Sibling,242,190,0.7851239669421488,0.18881789834056573
Sisu - Empowered Sibling,Vitalisphere,214,168,0.7850467289719626,0.1887406603703795
Maurice's Workshop,Sisu - Empowered Sibling,290,227,0.7827586206896552,0.1864525520880721
Fishbone Quill,Oswald - The Lucky Rabbit,300,234,0.78,0.18369393139841694
Develop Your Brain,Sisu - Empowered Sibling,9,7,0.7777777777777778,0.1814717091761947
Diablo - Obedient Raven,Madam Mim - Snake,9,7,0.7777777777777778,0.1814717091761947
Fishbone Quill,Ratigan's Marvelous Trap,9,7,0.7777777777777778,0.1814717091761947
Gold Coin,Might Solve a Mystery,9,7,0.7777777777777778,0.1814717091761947
Maui's Fish Hook,Sisu - Daring Visitor,9,7,0.7777777777777778,0.1814717091761947
Might Solve a Mystery,Tamatoa - Happy as a Clam,9,7,0.7777777777777778,0.1814717091761947
"Next Stop, Olympus",Tipo - Growing Son,9,7,0.7777777777777778,0.1814717091761947
Sapphire Coil,Under the Sea,9,7,0.7777777777777778,0.1814717091761947
Someone Will Lose His Head,Vision of the Future,9,7,0.7777777777777778,0.1814717091761947
Belle - Apprentice Inventor,Fishbone Quill,205,159,0.775609756097561,0.17930368749597791
Pawpsicle,Sisu - Empowered Sibling,305,236,0.7737704918032787,0.17746442320169564
Basil's Magnifying Glass,Oswald - The Lucky Rabbit,171,132,0.7719298245614035,0.17562375595982038
Might Solve a Mystery,Scrooge McDuck - Resourceful Miser,57,44,0.7719298245614035,0.17562375595982038
Inkrunner,Sisu - Empowered Sibling,263,203,0.7718631178707225,0.1755570492691394
Belle - Apprentice Inventor,Might Solve a Mystery,35,27,0.7714285714285715,0.17512250282698838
Fishbone Quill,Maurice's Workshop,319,246,0.7711598746081505,0.1748538060065674
Fishbone Quill,Inkrunner,286,220,0.7692307692307693,0.1729247006291862
Belle - Apprentice Inventor,Tamatoa - Happy as a Clam,13,10,0.7692307692307693,0.1729247006291862
Maui - Hero to All,Might Solve a Mystery,13,10,0.7692307692307693,0.1729247006291862
Maui's Fish Hook,Scrooge McDuck - Resourceful Miser,13,10,0.7692307692307693,0.1729247006291862
Basil's Magnifying Glass,Sapphire Coil,186,143,0.7688172043010753,0.17251113569949217
Scrooge McDuck - Resourceful Miser,Sisu - Empowered Sibling,267,205,0.7677902621722846,0.17148419357070155
Fishbone Quill,Scrooge McDuck - Resourceful Miser,283,217,0.7667844522968198,0.1704783836952367
Sisu - Daring Visitor,Sisu - Empowered Sibling,263,201,0.7642585551330798,0.16795248653149675
Fishbone Quill,Pawpsicle,326,248,0.7607361963190185,0.16443012771743537
Maui - Half-Shark,"Next Stop, Olympus",25,19,0.76,0.16369393139841693
Pawpsicle,Tamatoa - Happy as a Clam,25,19,0.76,0.16369393139841693
Basil's Magnifying Glass,Vitalisphere,145,110,0.7586206896551724,0.1623146210535893
Maurice's Workshop,Might Solve a Mystery,58,44,0.7586206896551724,0.1623146210535893
Maui - Half-Shark,Vision of the Future,29,22,0.7586206896551724,0.1623146210535893
Sapphire Coil,Sisu - Empowered Sibling,304,230,0.756578947368421,0.16027287876683793
Might Solve a Mystery,Vitalisphere,49,37,0.7551020408163265,0.1587959722147434
